country_name,city_name,aqi_value,aqi_category,dominant_pollutant,predicted_aqi,error,risk_level
Belgium,Fleurus,58,Moderate,PM2.5,58.0,0.0,Moderate
Russian Federation,Vanino,22,Good,PM2.5,22.0,0.0,Good
Belgium,Kruibeke,47,Good,PM2.5,47.0,0.0,Good
Czechia,Karvina,80,Moderate,PM2.5,80.0,0.0,Moderate
Viet Nam,Dien Bien,21,Good,OZONE,21.0,0.0,Good
Thailand,Rong Kwang,53,Moderate,PM2.5,53.0,0.0,Moderate
United States of America,Port Arthur,29,Good,PM2.5,29.0,0.0,Good
Philippines,Orion,43,Good,PM2.5,43.0,0.0,Good
India,Moirang,67,Moderate,PM2.5,67.0,0.0,Moderate
India,Dhaka,235,Very Unhealthy,PM2.5,235.2,0.2,Very Unhealthy
Brazil,Almirante Tamandare,13,Good,PM2.5,12.1,0.9,Good
Afghanistan,Kholm,123,Unhealthy for Sensitive Groups,PM2.5,123.0,0.0,Unhealthy (Sensitive)
Russian Federation,Zainsk,28,Good,OZONE,28.0,0.0,Good
United States of America,Loves Park,39,Good,OZONE,39.0,0.0,Good
Greece,Trikala,99,Moderate,PM2.5,99.0,0.0,Moderate
Nigeria,Offa,106,Unhealthy for Sensitive Groups,PM2.5,106.0,0.0,Unhealthy (Sensitive)
Chad,Bitkine,37,Good,PM2.5,37.0,0.0,Good
Netherlands,Veghel,37,Good,PM2.5,37.0,0.0,Good
Ukraine,Zhovkva,67,Moderate,PM2.5,67.0,0.0,Moderate
Germany,Lotte,31,Good,PM2.5,31.0,0.0,Good
Germany,Beverungen,59,Moderate,PM2.5,59.0,0.0,Moderate
Brazil,Diamantino,75,Moderate,PM2.5,75.0,0.0,Moderate
India,Patancheru,189,Unhealthy,PM2.5,188.7,0.3,Unhealthy
United States of America,Cudahy,141,Unhealthy for Sensitive Groups,PM2.5,141.0,0.0,Unhealthy (Sensitive)
Italy,Monte San Pietro,39,Good,OZONE,39.0,0.0,Good
Italy,Paese,72,Moderate,PM2.5,72.0,0.0,Moderate
Australia,Ballarat,22,Good,PM2.5,22.0,0.0,Good
Brazil,Regeneracao,39,Good,PM2.5,39.0,0.0,Good
Russian Federation,Sunzha,40,Good,PM2.5,40.0,0.0,Good
Guatemala,Poptun,48,Good,PM2.5,48.0,0.0,Good
Denmark,Flong,35,Good,PM2.5,35.0,0.0,Good
China,Qujing,46,Good,PM2.5,46.0,0.0,Good
United States of America,Park Ridge,64,Moderate,PM2.5,64.0,0.0,Moderate
United States of America,Delaware,42,Good,OZONE,42.0,0.0,Good
Russian Federation,Kargopol,31,Good,OZONE,31.0,0.0,Good
Italy,Margherita Di Savoia,48,Good,OZONE,48.0,0.0,Good
Belgium,Geraardsbergen,52,Moderate,PM2.5,52.0,0.0,Moderate
Belgium,Maasmechelen,44,Good,PM2.5,44.0,0.0,Good
Russian Federation,Salavat,38,Good,PM2.5,38.0,0.0,Good
United Republic of Tanzania,Maposeni,28,Good,PM2.5,28.0,0.0,Good
Mexico,Lopez Mateos,175,Unhealthy,PM2.5,175.0,0.0,Unhealthy
Lithuania,Raseiniai,31,Good,PM2.5,31.0,0.0,Good
France,Caluire Et Cuire,55,Moderate,PM2.5,55.0,0.0,Moderate
Ukraine,Mykhaylivka,38,Good,OZONE,38.0,0.0,Good
India,Narsipatnam,92,Moderate,PM2.5,92.0,0.0,Moderate
Brazil,Sao Sebastiao Do Passe,63,Moderate,PM2.5,63.0,0.0,Moderate
Nigeria,Nkpor,166,Unhealthy,PM2.5,165.7,0.3,Unhealthy
Ukraine,Starokostyantyniv,35,Good,OZONE,35.0,0.0,Good
Japan,Haebaru,32,Good,OZONE,32.0,0.0,Good
Turkey,Terme,37,Good,OZONE,37.0,0.0,Good
Belgium,Meise,34,Good,PM2.5,34.0,0.0,Good
India,Ganganagar,500,Hazardous,PM2.5,500.0,0.0,Hazardous
Poland,Zlotow,30,Good,OZONE,30.0,0.0,Good
Russian Federation,Yasnyy,114,Unhealthy for Sensitive Groups,PM2.5,114.0,0.0,Unhealthy (Sensitive)
Russian Federation,Dolgoprudnyy,54,Moderate,PM2.5,54.0,0.0,Moderate
Germany,Naumburg,32,Good,PM2.5,32.0,0.0,Good
France,Hem,38,Good,PM2.5,38.0,0.0,Good
Peru,Bagua Grande,26,Good,PM2.5,26.0,0.0,Good
Germany,Bad Krozingen,76,Moderate,PM2.5,76.0,0.0,Moderate
India,Murud,101,Unhealthy for Sensitive Groups,PM2.5,101.0,0.0,Unhealthy (Sensitive)
United States of America,Greenbelt,52,Moderate,OZONE,52.0,0.0,Moderate
United Kingdom of Great Britain and Northern Ireland,Egham,53,Moderate,PM2.5,53.0,0.0,Moderate
India,Pali,173,Unhealthy,PM2.5,173.0,0.0,Unhealthy
United States of America,Waunakee,58,Moderate,PM2.5,58.0,0.0,Moderate
Japan,Maki,41,Good,OZONE,41.0,0.0,Good
India,Patrasaer,150,Unhealthy,PM2.5,150.0,0.0,Unhealthy (Sensitive)
Indonesia,Ambarawa,86,Moderate,PM2.5,86.0,0.0,Moderate
India,Shrigonda,141,Unhealthy for Sensitive Groups,PM2.5,141.2,0.2,Unhealthy (Sensitive)
United States of America,Skokie,82,Moderate,PM2.5,82.0,0.0,Moderate
Brazil,Goiana,25,Good,OZONE,25.0,0.0,Good
India,Ajnala,157,Unhealthy,OZONE,157.0,0.0,Unhealthy
Peru,Nuevo Imperial,28,Good,PM2.5,28.0,0.0,Good
Russian Federation,Selyatino,43,Good,PM2.5,43.0,0.0,Good
United States of America,Healdsburg,31,Good,OZONE,31.0,0.0,Good
Czechia,Havlickuv Brod,31,Good,PM2.5,31.0,0.0,Good
United States of America,Chalmette,84,Moderate,PM2.5,84.0,0.0,Moderate
Brazil,Campo Alegre,25,Good,PM2.5,25.0,0.0,Good
India,Akodia,154,Unhealthy,PM2.5,154.0,0.0,Unhealthy
United States of America,Schererville,72,Moderate,PM2.5,72.0,0.0,Moderate
Guatemala,Nuevo San Carlos,111,Unhealthy for Sensitive Groups,PM2.5,111.0,0.0,Unhealthy (Sensitive)
Brazil,Cajuru,50,Good,PM2.5,50.0,0.0,Good
Uganda,Mbale,75,Moderate,PM2.5,75.0,0.0,Moderate
Portugal,Aldeia De Paio Pires,32,Good,OZONE,32.0,0.0,Good
United States of America,Willmar,46,Good,PM2.5,46.0,0.0,Good
South Africa,Molteno,50,Good,PM2.5,50.0,0.0,Good
Benin,Nikki,41,Good,PM2.5,41.0,0.0,Good
United States of America,Pleasant Prairie,55,Moderate,PM2.5,55.0,0.0,Moderate
Poland,Krnov,95,Moderate,PM2.5,95.0,0.0,Moderate
United States of America,South Saint Paul,52,Moderate,PM2.5,52.0,0.0,Moderate
France,Luneville,38,Good,PM2.5,38.0,0.0,Good
Poland,Ostrow Mazowiecka,35,Good,OZONE,35.0,0.0,Good
Italy,Foggia,62,Moderate,OZONE,62.0,0.0,Moderate
Italy,Abano Terme,69,Moderate,PM2.5,69.0,0.0,Moderate
Japan,Togane,50,Good,OZONE,50.0,0.0,Good
Brazil,Barra Do Bugres,63,Moderate,PM2.5,63.0,0.0,Moderate
United States of America,Palm Springs,35,Good,PM2.5,35.0,0.0,Good
Turkmenistan,Farap,150,Unhealthy,PM2.5,150.0,0.0,Unhealthy (Sensitive)
Greece,Polikhni,67,Moderate,PM2.5,67.0,0.0,Moderate
Somalia,Berbera,90,Moderate,PM2.5,90.0,0.0,Moderate
Germany,Niederkruchten,56,Moderate,PM2.5,56.0,0.0,Moderate
Russian Federation,Arkadak,28,Good,OZONE,28.0,0.0,Good
Brazil,Sao Raimundo Nonato,22,Good,PM2.5,22.0,0.0,Good
Russian Federation,Kozmodemyansk,33,Good,OZONE,33.0,0.0,Good
Czechia,Jihlava,30,Good,OZONE,30.0,0.0,Good
South Africa,Vryburg,103,Unhealthy for Sensitive Groups,PM2.5,103.0,0.0,Unhealthy (Sensitive)
Japan,Nogata,33,Good,OZONE,33.0,0.0,Good
Philippines,Lalig,90,Moderate,PM2.5,90.0,0.0,Moderate
Ukraine,Nadvirna,51,Moderate,PM2.5,51.0,0.0,Moderate
Italy,Bussolengo,83,Moderate,PM2.5,83.0,0.0,Moderate
El Salvador,Chalatenango,107,Unhealthy for Sensitive Groups,PM2.5,107.2,0.2,Unhealthy (Sensitive)
Russian Federation,Sherlovaya Gora,32,Good,OZONE,32.0,0.0,Good
United Kingdom of Great Britain and Northern Ireland,Bootle,65,Moderate,PM2.5,65.0,0.0,Moderate
India,Gobindapur,198,Unhealthy,PM2.5,198.0,0.0,Unhealthy
India,Andippatti,45,Good,PM2.5,45.0,0.0,Good
United States of America,Westwood,50,Good,PM2.5,50.0,0.0,Good
France,Lons,36,Good,OZONE,36.0,0.0,Good
United States of America,Whitman,38,Good,PM2.5,38.0,0.0,Good
Romania,Nicolae Balcescu,66,Moderate,PM2.5,66.0,0.0,Moderate
Germany,Haselunne,33,Good,OZONE,33.0,0.0,Good
Philippines,Samal,61,Moderate,PM2.5,61.0,0.0,Moderate
Brazil,Ipiau,37,Good,PM2.5,37.0,0.0,Good
India,Ilkal,59,Moderate,PM2.5,59.0,0.0,Moderate
India,Nalbari,108,Unhealthy for Sensitive Groups,PM2.5,108.0,0.0,Unhealthy (Sensitive)
Japan,Bihoro,37,Good,PM2.5,37.0,0.0,Good
Peru,Ilo,18,Good,OZONE,18.0,0.0,Good
,Bissau,134,Unhealthy for Sensitive Groups,PM2.5,134.0,0.0,Unhealthy (Sensitive)
Spain,Tarragona,48,Good,PM2.5,48.0,0.0,Good
France,Gagny,30,Good,PM2.5,30.0,0.0,Good
France,Joinville Le Pont,71,Moderate,PM2.5,71.0,0.0,Moderate
Guinea,Telimele,51,Moderate,PM2.5,51.0,0.0,Moderate
Italy,Fasano,55,Moderate,PM2.5,55.0,0.0,Moderate
Indonesia,Temanggung,87,Moderate,PM2.5,87.0,0.0,Moderate
China,Yangjiang,56,Moderate,PM2.5,56.0,0.0,Moderate
United States of America,Imperial Beach,59,Moderate,PM2.5,59.0,0.0,Moderate
Iran (Islamic Republic of),Kalaleh,70,Moderate,PM2.5,70.0,0.0,Moderate
Italy,Caselle Torinese,79,Moderate,PM2.5,79.0,0.0,Moderate
Spain,Calvia,49,Good,OZONE,49.0,0.0,Good
United States of America,Niagara Falls,42,Good,PM2.5,42.0,0.0,Good
United States of America,Norman,78,Moderate,PM2.5,78.0,0.0,Moderate
Germany,Wetter,62,Moderate,PM2.5,62.0,0.0,Moderate
Brazil,Vespasiano,42,Good,PM2.5,42.0,0.0,Good
Brazil,Uruacu,43,Good,PM2.5,43.0,0.0,Good
United States of America,Lubbock,54,Moderate,PM2.5,54.0,0.0,Moderate
India,Bilari,500,Hazardous,PM2.5,497.9,2.1,Hazardous
Belgium,Aywaille,31,Good,PM2.5,31.0,0.0,Good
Uzbekistan,Koson,159,Unhealthy,PM2.5,159.0,0.0,Unhealthy
Brazil,Vicosa Do Ceara,40,Good,PM2.5,40.0,0.0,Good
Germany,Kalkar,33,Good,OZONE,33.0,0.0,Good
